location,latitude,longitude
NorthernEurope,58.1960405,14.072643
MiddleAfrica,7.369722,12.354722
WesternEurope,48.5090025,8.1479575
Germany,51.165691,10.451526
EasternAfrica,-1.940278,29.873888
SouthernEurope,41.890264,11.40948375
Benelux,50.8172643,5.2969283
SouthernAfrica,-30.559482,22.937506
EasternEurope,50.4501,30.5234
APAC,-6.2146,106.8451
WesternAfrica,12.238333,-1.561593
France,46.227638,2.213749
NorthernAfrica,33.886917,9.537499
NorthAmerica,37.09024,-95.712891
