duration,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
0.0,2020-11-12 03:07:52.993847,2020-11-12 03:07:52.993847,7.369722,12.354722,7.369722,12.354722
0.113439,2020-11-12 03:07:52.993847,2020-12-23 15:34:46.427446,7.369722,12.354722,7.369722,12.354722
0.004202,2020-12-06 04:19:21.837768,2020-12-07 17:13:59.162570,7.369722,12.354722,7.369722,12.354722
0.039357,2020-12-25 04:29:30.249986,2021-01-08 13:42:20.879995,7.369722,12.354722,7.369722,12.354722
0.110154,2021-01-21 07:03:03.456004,2021-03-02 12:00:00.000003,7.369722,12.354722,7.369722,12.354722
0.034857,2021-02-17 18:39:09.648000,2021-03-02 12:00:00.000003,7.369722,12.354722,51.165691,10.451526
0.0,2021-03-02 12:00:00.000003,2021-03-02 12:00:00.000003,7.369722,12.354722,7.369722,12.354722
0.044222,2021-01-08 13:42:20.879995,2021-01-24 17:05:25.871994,7.369722,12.354722,7.369722,12.354722
0.0,2021-02-09 12:00:00.000001,2021-02-09 12:00:00.000001,7.369722,12.354722,7.369722,12.354722
0.010082,2021-01-24 17:05:25.871994,2021-01-28 09:24:31.823995,7.369722,12.354722,46.818188,8.227512
0.079748,2021-01-28 09:24:27.071997,2021-02-26 12:00:00.000001,46.818188,8.227512,46.818188,8.227512
0.001446,2021-01-28 09:24:31.823995,2021-01-28 22:04:32.879994,46.818188,8.227512,46.818188,8.227512
0.003408,2021-01-28 22:04:31.152001,2021-01-30 03:55:45.840002,46.818188,8.227512,46.818188,8.227512
0.02305,2021-01-30 03:56:05.712003,2021-02-07 13:51:10.512004,46.818188,8.227512,46.818188,8.227512
0.054584,2021-02-07 13:50:38.976000,2021-02-27 11:59:59.999999,46.818188,8.227512,46.818188,8.227512
0.008378,2021-02-07 13:51:10.512004,2021-02-10 15:14:39.120003,46.818188,8.227512,46.818188,8.227512
0.01629,2021-02-10 15:14:30.479998,2021-02-16 13:56:31.919999,46.818188,8.227512,46.818188,8.227512
0.098409,2021-02-16 13:56:13.775998,2021-03-24 11:59:59.999997,46.818188,8.227512,46.818188,8.227512
0.005288,2021-02-16 13:56:31.919999,2021-02-18 12:15:54.288001,46.818188,8.227512,46.818188,8.227512
0.035587,2021-02-18 12:15:28.367999,2021-03-03 12:00:00.000002,46.818188,8.227512,46.818188,8.227512
0.027367,2021-02-18 12:15:54.288001,2021-02-28 11:59:59.999998,46.818188,8.227512,46.818188,8.227512
0.017388,2021-02-10 15:14:39.120003,2021-02-16 23:33:47.088003,46.818188,8.227512,46.818188,8.227512
0.012199,2021-02-16 23:33:41.472001,2021-02-21 10:25:29.136001,46.818188,8.227512,46.818188,8.227512
